pt,eta,efficiency
"[0, 40)","[-4, -3.84)",0.0
"[0, 40)","[-3.84, -3.68)",0.0
"[0, 40)","[-3.68, -3.52)",0.0
"[0, 40)","[-3.52, -3.36)",0.0
"[0, 40)","[-3.36, -3.2)",0.0
"[0, 40)","[-3.2, -3.04)",0.0
"[0, 40)","[-3.04, -2.88)",0.0
"[0, 40)","[-2.88, -2.72)",0.0
"[0, 40)","[-2.72, -2.56)",0.0
"[0, 40)","[-2.56, -2.4)",0.0
"[0, 40)","[-2.4, -2.24)",0.0
"[0, 40)","[-2.24, -2.08)",0.0
"[0, 40)","[-2.08, -1.92)",0.0
"[0, 40)","[-1.92, -1.76)",0.0
"[0, 40)","[-1.76, -1.6)",0.0
"[0, 40)","[-1.6, -1.44)",0.0
"[0, 40)","[-1.44, -1.28)",0.0
"[0, 40)","[-1.28, -1.12)",0.0
"[0, 40)","[-1.12, -0.96)",0.0
"[0, 40)","[-0.96, -0.8)",0.0
"[0, 40)","[-0.8, -0.64)",0.0
"[0, 40)","[-0.64, -0.48)",0.0
"[0, 40)","[-0.48, -0.32)",0.0
"[0, 40)","[-0.32, -0.16)",0.0
"[0, 40)","[-0.16, 0)",0.0
"[0, 40)","[0, 0.16)",0.0
"[0, 40)","[0.16, 0.32)",0.0
"[0, 40)","[0.32, 0.48)",0.0
"[0, 40)","[0.48, 0.64)",0.0
"[0, 40)","[0.64, 0.8)",0.0
"[0, 40)","[0.8, 0.96)",0.0
"[0, 40)","[0.96, 1.12)",0.0
"[0, 40)","[1.12, 1.28)",0.0
"[0, 40)","[1.28, 1.44)",0.0
"[0, 40)","[1.44, 1.6)",0.0
"[0, 40)","[1.6, 1.76)",0.0
"[0, 40)","[1.76, 1.92)",0.0
"[0, 40)","[1.92, 2.08)",0.0
"[0, 40)","[2.08, 2.24)",0.0
"[0, 40)","[2.24, 2.4)",0.0
"[0, 40)","[2.4, 2.56)",0.0
"[0, 40)","[2.56, 2.72)",0.0
"[0, 40)","[2.72, 2.88)",0.0
"[0, 40)","[2.88, 3.04)",0.0
"[0, 40)","[3.04, 3.2)",0.0
"[0, 40)","[3.2, 3.36)",0.0
